,country,article_name,revision_id,article_quality_est,population
78,Botswana,List of members of the National Assembly of Botswana 2009–14,638599355,Start,2317000.0
79,Nigeria,Aliyu Ibrahim Gebi,639021339,Stub,206140000.0
80,China,Wang Jichang,639061161,Start,1402385000.0
81,Brazil,Waldemir Moka,639471171,Stub,211812000.0
82,Ireland,Custos Rotulorum of County Waterford,640014648,Stub,5003000.0
83,"Korea, South",Lee Ja-kyum,640214913,Stub,51781000.0
84,China,Wei Huan-zi,640826254,Stub,1402385000.0
85,Chile,O'Higgins Pioche,641422326,Stub,19470000.0
86,San Marino,"List of Captains Regent of San Marino, 1500–1700",643410335,Start,34000.0
87,Denmark,Eiler Grubbe,643746000,Stub,5829000.0
94,Finland,Olli Zitting,644024203,Stub,5529000.0
95,France,Pierre Philibert de Blancheton,644041882,Stub,64940000.0
96,Albania,Luiza Xhuvani,644399375,Stub,2838000.0
97,Spain,Diego de Villalba y Toledo,645225697,Start,47635000.0
98,Zimbabwe,Jabulani Dube,645408814,Stub,14863000.0
100,Benin,Ministry of Economy and Finance (Benin),647450883,Stub,12209000.0
101,Romania,Gheorghe Barbu,647483021,Stub,19241000.0
102,China,Pan Yunduan,647832959,Stub,1402385000.0
103,Finland,Otto Elfving,647893858,Stub,5529000.0
104,Sri Lanka,List of Sri Lankan politicians,648048611,Stub,21937000.0
105,India,Fathema Ismail,648271473,Stub,1400100000.0
106,Spain,Rafael Simancas,650458255,Stub,47635000.0
107,Philippines,Adela Serra-Ty,650462344,Stub,109581000.0
108,Syria,Muhammad al-Ghafri,650494773,Stub,19398000.0
110,Uruguay,Eneida de León,651785828,Stub,3531000.0
111,United States,Read family of Delaware,651856758,Stub,329878000.0
113,Canada,Rossy Barbour,653527941,Stub,38190000.0
114,Ghana,Reginald Nii Bi Ayibonte,653895210,Stub,31073000.0
115,Poland,Franz Schimmelpfennig von der Ove,654012510,Stub,38368000.0
116,Finland,Ville Korhonen (politician),655031906,Stub,5529000.0
117,Finland,Onni Hallsten,655032578,Stub,5529000.0
118,Uganda,Yosia Nadiope of Busoga,655390291,Stub,45741000.0
119,Colombia,María del Socorro Bustamante,655980284,Stub,49444000.0
120,Uruguay,Enrique Pintado,656352211,Stub,3531000.0
121,Uruguay,Instructions of the Year XIII,656386131,Stub,3531000.0
122,Moldova,Governor of Gagauzia,656737492,Stub,3535000.0
123,Egypt,Neferkheperu-her-sekheper,657176628,Start,100803000.0
124,Ghana,Abeifaa Karbo,658939122,Stub,31073000.0
125,France,Auguste Louis Antoine Fabre,659315526,Stub,64940000.0
126,Tajikistan,Maksud Ibragimov,660214915,Start,9429000.0
127,Nicaragua,Miguel R. Morales,660579437,Stub,6596000.0
128,Bosnia-Herzegovina,Aljoša Čampara,660884852,Start,3281000.0
129,Germany,Walter Simon (philanthropist),662681733,Start,83300000.0
130,Jordan,Abu Sayyaf (Jordan),662927043,Start,10679000.0
132,Denmark,Torsten Nielsen,663166199,Stub,5829000.0
134,Pakistan,Mufti Abdullah,663572469,Stub,220940000.0
135,South Africa,William Matthew Harries,663617582,Stub,59628000.0
136,New Zealand,Maanu Paul,663783398,Stub,4987000.0
137,Lithuania,County governor (Lithuania),663880497,Stub,2794000.0
138,Indonesia,Burhan Muhammad,664532059,Stub,271739000.0
139,Portugal,Martim Afonso de Brito,664669156,Stub,10255000.0
140,China,Gonghe Regency,664787336,Stub,1402385000.0
141,Kenya,Irshadali Sumra,664793790,Stub,53528000.0
142,China,Koufu,664814622,Stub,1402385000.0
143,India,Political families of Odisha,664822251,Stub,1400100000.0
144,Belgium,Firmin Aerts,666029819,Stub,11515000.0
146,South Africa,Philip Johannes Andries Watermeyer,666610075,Start,59628000.0
147,Romania,Ioan Rus,666752677,Stub,19241000.0
148,Netherlands,Pieter Adrianus Ossewaarde,667194771,Stub,17467000.0
149,Netherlands,Christoffel van Swoll,667198201,Start,17467000.0
150,United States,National Foundation for Women Legislators,667815878,Start,329878000.0
151,Canada,Les Scheininger,667821864,C,38190000.0
152,Canada,Patrick Canning,667873261,Start,38190000.0
153,Bulgaria,Kalina Krumova,667906849,Start,6927000.0
154,France,Pierre Chatenet,668091068,Stub,64940000.0
155,Monaco,Henry Soum,668095014,Stub,38000.0
156,India,Brij Bhushan Mehra,668258382,Stub,1400100000.0
157,Romania,Aurelian Pavelescu,668449610,Stub,19241000.0
158,South Sudan,Madut Kon Awan,668830946,Stub,11194000.0
159,Morocco,Taieb Ghafes,669266906,Stub,35952000.0
160,Poland,Teodor Andrault de Langeron,669301445,Stub,38368000.0
162,Lebanon,Ghassan Ashqar,669444168,Stub,6825000.0
163,Iceland,Magnús Orri Schram,669565720,Stub,368000.0
164,Sierra Leone,Wusu Sannoh,669571173,Stub,7977000.0
165,Chad,Kuri II of Kanem,669719757,Stub,16877000.0
166,Tunisia,Laroussi Mizouri,669831602,Stub,11896000.0
167,Yemen,Hashid Abdullah al-Ahmar,669833212,Stub,29826000.0
168,Kyrgyzstan,Erkin Alymbekov,669833349,Stub,6594000.0
169,Italy,Angelo Staniscia,669835390,Stub,60296000.0
170,Pakistan,Malik Adnan Hayat Noon,669841183,Stub,220940000.0
171,Benin,Samou Seidou Adambi,669855022,Stub,12209000.0
172,Mexico,Porfirio Smerdou,669862709,Stub,127792000.0
173,Sweden,Lise Nordin,669869895,Stub,10377000.0
174,Zimbabwe,Fletcher Dulini,669981316,Stub,14863000.0
175,Poland,Krzysztof Abrahamowicz,669985109,Stub,38368000.0
176,Madagascar,Horace Mann Thu-Jaune,670134982,Stub,27691000.0
178,Afghanistan,Murad Quenili,670462475,Stub,38928000.0
179,Chad,Bir II of Kanem,670893206,Stub,16877000.0
180,Canada,Gerald Hill (politician),670917017,Stub,38190000.0
181,France,List of Presidents of Alsace,670960027,Stub,64940000.0
182,Canada,John R. O'Dea,670971940,Stub,38190000.0
183,Turkmenistan,Annaberdi Kakabaýew,671016281,Stub,6031000.0
184,Yemen,Salim Yahya al-Kharega,671023940,Stub,29826000.0
185,Tanzania,Faida Mohamed Bakar,671029717,Stub,59734000.0
186,Kenya,Hosea Kiplagat,671032132,Stub,53528000.0
187,Grenada,Michael D. Lett,671047987,Stub,113000.0
188,Cambodia,Than Sina,671073599,Stub,15497000.0
189,Canada,Samuel J. Hefferton,671122320,Start,38190000.0
190,Armenia,Armen Rustamyan,671189093,Stub,2956000.0
191,Somalia,Abdulahi Ahmed Afrah,671338098,Stub,15893000.0
192,Iceland,Ólafur Garðar Einarsson,671338216,Stub,368000.0
193,Afghanistan,Badar,671455150,Stub,38928000.0
194,Slovakia,Dušan Švantner,671461616,Stub,5462000.0
195,Iceland,Óli Þorbjörn Guðbjartsson,671462644,Stub,368000.0
196,Afghanistan,Mohammed Qalamuddin,671473289,Stub,38928000.0
197,France,Patrick Bourson,671475479,Stub,64940000.0
198,Madagascar,Lininy,671483959,Stub,27691000.0
199,Nigeria,Azeez Issa Adesiji,671511760,Stub,206140000.0
201,Iraq,Ali al-Bahadili,671516033,Stub,39725000.0
202,Moldova,Valerian Revenco,671637265,Stub,3535000.0
203,Vietnam,Presidential Palace Historical Site,671868722,Stub,96209000.0
204,Russia,Viktor Antonov,671890885,Stub,146733000.0
205,Peru,Elsa Malpartida,671891037,Stub,32824000.0
206,Madagascar,Rasoanaivo,671895550,Stub,27691000.0
207,Mali,Sadio Lamine Sow,671897239,Stub,20251000.0
208,Nepal,Narayan Sharma Paudel,671903264,Stub,29996000.0
209,Tonga,Mataʻiʻulua ‘i Fonuamotu,672119030,Stub,99000.0
210,Myanmar,San Tun,672156082,Stub,54704000.0
211,Japan,Masahiro Futahashi,672284154,Stub,125967000.0
212,Greece,Yannis Moralis (politician),672515581,Stub,10700000.0
213,Argentina,Macarena Escudero,672547562,Stub,45377000.0
214,France,André Boulloche,672709444,Stub,64940000.0
217,Argentina,Norma Colpari,673393730,Stub,45377000.0
218,Liberia,Roosevelt Jayjay,674487383,Stub,5058000.0
219,Ghana,Joshua Nii Laryea Afotey-Agbo,674576443,Stub,31073000.0
220,Congo,Military Committee of the Congolese Party of Labour,674702694,Stub,5518000.0
222,Qatar,Ahmad bin Eid al-Thani,675271208,Stub,2839000.0
223,Uruguay,Liga Federal,675303236,C,3531000.0
224,Jamaica,George Samuel Ranglin,675376529,Stub,2809000.0
225,Argentina,Rubén Pellanda,676040670,Stub,45377000.0
226,Argentina,Raúl Lacabanne,676043559,Stub,45377000.0
227,Argentina,Juan Carlos Reyes (governor),676044272,Stub,45377000.0
228,Argentina,Bernardo Bas,676498385,Stub,45377000.0
229,Canada,Alexander Dunphy,676610041,Stub,38190000.0
230,Canada,Gordon Dawe,676612108,Stub,38190000.0
231,Fiji,Bijai Prasad,676661990,Stub,896000.0
232,Guyana,Barton Scotland,676691070,Stub,787000.0
233,Canada,Paul Thoms,676732644,Stub,38190000.0
234,Canada,Frederick B. Rowe,676734572,Stub,38190000.0
235,Canada,Allan Evans (politician),676782180,Stub,38190000.0
237,Fiji,Asesela Sadole,676841743,Stub,896000.0
238,Canada,Luke Woodrow,676947124,Stub,38190000.0
239,Canada,William G. Patterson,677094551,Stub,38190000.0
240,Solomon Islands,Simeon Bouro,677317570,Start,715000.0
241,Nigeria,Salisu Buhari,677435096,Stub,206140000.0
242,China,Hou Zongbin,677516121,Stub,1402385000.0
243,Ecuador,Jorge Zavala,677523953,Stub,17511000.0
244,Liechtenstein,Harry Quaderer,677568976,Stub,39000.0
245,Canada,Freeman White (politician),677724847,Stub,38190000.0
246,Tuvalu,Leneuoti Matusi,677747943,Stub,10000.0
247,Tuvalu,Second Toafa Ministry,677750304,Start,10000.0
248,Canada,William J. MacNeil,677769770,Stub,38190000.0
249,Argentina,Miguel Cané,677786528,Start,45377000.0
250,Uruguay,Gabriel Antonio Pereira,677974642,Stub,3531000.0
251,Germany,Wilhelm Wallbaum,678140107,Stub,83300000.0
252,Sao Tome and Principe,List of São Toméan politicians,678440540,Stub,210000.0
253,Morocco,Larbi Messari,678532348,Start,35952000.0
254,Russia,Sergey Zorin,678595657,Stub,146733000.0
255,Pakistan,Fakhrul Islam,678638092,Stub,220940000.0
256,Mexico,Cora Amalia Castilla,678721991,Stub,127792000.0
257,New Zealand,Victor Macky,679247120,Start,4987000.0
259,Somalia,Mohamed Mohamud Hayd,679509452,Stub,15893000.0
260,Belarus,Sergey Kalyakin,679547012,Stub,9375000.0
261,Slovenia,List of Slovenian politicians,679559247,Stub,2103000.0
262,Uruguay,Mateo Vidal,679591301,Stub,3531000.0
263,Canada,John Collins (Canadian politician),679623758,Stub,38190000.0
264,Fiji,Osea Gavidi,679873929,Start,896000.0
265,China,Cui Yuying,680016822,Start,1402385000.0
266,Singapore,Abdul Rahim Ishak,680036029,Start,5769000.0
267,Panama,Gumercinda Páez,680071857,GA,4283000.0
268,Ireland,Des Dalton,680161213,Start,5003000.0
269,Guinea,Claude Pivi,680174895,Stub,12560000.0
271,Argentina,Bernardo Grinspun,680370867,Stub,45377000.0
273,Marshall Islands,Michael Konelios,680614363,Stub,57000.0
274,Pakistan,Malik Khuda Buksh Tiwana,680618398,Stub,220940000.0
275,Canada,Barry Hynes,680618797,Stub,38190000.0
276,Hungary,"Domonkos II, Archbishop of Esztergom",680629551,Stub,9767000.0
277,Portugal,Veríssimo Aguiar Cabral,680680191,Stub,10255000.0
278,Panama,Federico Policani,680722683,Stub,4283000.0
279,Russia,Alexander Barybin,680886613,Stub,146733000.0
280,Palestinian Territory,Hossam Arafat (politician),680933208,Stub,5008000.0
281,United Kingdom,Laura Alvarez,681177706,Stub,67160000.0
282,Poland,Mirosław Czech,681605695,Stub,38368000.0
283,Bulgaria,Poli Karastoyanova,682145001,Start,6927000.0
284,Ethiopia,Actisanes,682149007,Stub,114916000.0
285,South Africa,Azhar Cachalia,682166816,Stub,59628000.0
287,Romania,Simona-Alice Man,682928660,Stub,19241000.0
288,Brazil,Jerônima Mesquita,683020488,Stub,211812000.0
289,Philippines,Jose Solis,683282915,Stub,109581000.0
290,Dominican Republic,Viriato Fiallo,683417360,Start,10500000.0
291,Argentina,Rodolfo Gabrielli,683631802,Stub,45377000.0
292,Malaysia,Eli Wong,683715284,Stub,32781000.0
293,Brazil,Horácio de Matos,683946857,Stub,211812000.0
294,Canada,Brendan Howard,684050793,Stub,38190000.0
295,Ecuador,Benigno Andrade Flores,684060626,Stub,17511000.0
296,Russia,Yury Zaostrovtsev,684179656,Stub,146733000.0
297,Uganda,Patrick Mutono,684295893,Stub,45741000.0
298,Italy,Giuseppe Fenaroli Avogadro,684464777,Stub,60296000.0
299,Angola,Afonso Pedro Canga,684499128,Stub,32522000.0
300,Germany,Wilhelm von Wedell-Piesdorf,684525811,Stub,83300000.0
301,Germany,Hans Graf von Schwerin-Löwitz,684537777,Stub,83300000.0
302,Australia,Geoff Muntz,684542057,Start,25754000.0
303,Armenia,Martiros Sarukhanyan,684660655,Stub,2956000.0
304,Colombia,Maria del Pilar Hurtado,684804678,Stub,49444000.0
305,Italy,Giovanni Bovara,684821806,Start,60296000.0
306,Croatia,Zvonimir Mršić,684859066,Stub,4020000.0
307,Kenya,Julius Muthamia,684879320,Start,53528000.0
308,Canada,Wilson Callan,684903534,Stub,38190000.0
309,Canada,Rod Moores,684903869,Stub,38190000.0
310,Lebanon,Georges Adwan,685116600,Stub,6825000.0
311,Yemen,Muhammad Musa al-Amri,685320824,Start,29826000.0
312,United States,Murray Hill Incorporated,685347694,Stub,329878000.0
313,Brazil,Aníbal Diniz,685720694,Stub,211812000.0
314,Tunisia,Slaheddine Ben Mbarek,686050095,Stub,11896000.0
315,Algeria,Ali Fawzi Rebaine,686269631,Stub,44357000.0
316,Germany,Jochen Ott,686349441,Stub,83300000.0
317,Poland,Aleksander Miller,686375687,Stub,38368000.0
318,Belarus,Sergei Gaidukevich,686406513,Stub,9375000.0
319,Taiwan,President of Taiwan,686619225,Stub,23610000.0
320,Tonga,Siosifa Tuʻitupou Tuʻutafaiva,686777395,Start,99000.0
321,Egypt,Qandil Cabinet,687093229,C,100803000.0
322,Bosnia-Herzegovina,Ivo Andrić-Lužanski,687109778,Stub,3281000.0
324,Argentina,Raúl Borrás,687130572,Stub,45377000.0
325,Argentina,Roque Carranza,687134370,Stub,45377000.0
326,Argentina,Germán López (politician),687138552,Stub,45377000.0
327,Iran,Electoral history of Mohammad Khatami,687159388,Start,84150000.0
328,Iran,Electoral history of Mahmoud Ahmadinejad,687159391,Start,84150000.0
329,Iran,Electoral history of Ali Larijani,687159546,Start,84150000.0
330,China,Meng Xiangwei,687160422,Stub,1402385000.0
331,Maldives,House of Theemuge,687285060,Stub,541000.0
332,Togo,Ata Messan Ajavon Zeus,687492743,Stub,8279000.0
333,Ireland,John Rogers (Irish lawyer),687613810,Stub,5003000.0
334,Sudan,Mustafa Osman Obeid Salim,687837173,Stub,43849000.0
335,Bolivia,Tito Hoz de Vila,687882717,Start,11633000.0
336,Gabon,Alexandré Barro Chambrier,688145583,Start,2231000.0
337,Bangladesh,Md. Moniruzzaman Moni,688430552,Stub,169809000.0
338,Liberia,Benjamin Green Freeman,688501356,Stub,5058000.0
339,Myanmar,Han Tha Myint,688524967,Stub,54704000.0
340,Netherlands,Willem Buys,688537236,Stub,17467000.0
341,Belgium,Joseph Gustave Ernest Allard,688590526,Stub,11515000.0
342,Greece,Takis Papageorgopoulos,688695923,Stub,10700000.0
343,Canada,List of 2010 Canadian incumbents,688697227,Start,38190000.0
344,China,Zhu Haowen,688763099,Stub,1402385000.0
345,Malaysia,Abu Samah Mohd Kassim,689248087,Stub,32781000.0
346,Uganda,Stanislaus Okurut,689614169,Stub,45741000.0
347,Finland,Ilmi Hallsten,689893447,Stub,5529000.0
348,China,Zhao Dezun,689932213,Stub,1402385000.0
349,Italy,Mario Occhiuto,689944992,Stub,60296000.0
350,Poland,Leszek Deptuła,689950541,Stub,38368000.0
351,Ukraine,Sergei Walter,690074710,Start,41778000.0
353,Hungary,"Péter Szilágyi (politician, 1981)",690152474,Start,9767000.0
354,Canada,Harold Collins (Canadian politician),690205437,Stub,38190000.0
355,Malaysia,R. G. Balan,690430012,Stub,32781000.0
356,Portugal,Vítor Aleixo,690548204,Stub,10255000.0
357,Finland,Tuomas Pohjanpalo,690700220,Stub,5529000.0
358,China,Zhang Chang (Han),690768683,Stub,1402385000.0
359,China,Lei Chunmei,690770856,Stub,1402385000.0
360,Slovenia,Franci Slak,691045510,Start,2103000.0
361,Bangladesh,Abdus Sattar Mondal,691201135,Stub,169809000.0
362,Libya,Bashir Saadawi,691346630,Stub,6891000.0
363,Nigeria,Igwe Aja-Nwachukwu,691389889,Stub,206140000.0
364,Canada,Speaker of the Legislative Assembly of the Province of Canada,691747234,Stub,38190000.0
365,Albania,Josif Pashko,692123101,Stub,2838000.0
366,Maldives,Ahmed Jamsheed Mohamed,692141335,Stub,541000.0
367,Guinea,Kerfalla Yansané,692173141,Stub,12560000.0
368,Mali,Amadou Konare,692298286,Stub,20251000.0
369,Brazil,João Alberto de Souza,692475749,Stub,211812000.0
370,Kiribati,Mote Terukaio,692502721,Stub,125000.0
371,Kiribati,Tekiau Aretaateta,692502986,Stub,125000.0
372,Belgium,Marie-José Laloy,692684868,Stub,11515000.0
373,France,Émile Marie Laurent,693011077,Stub,64940000.0
374,Chad,Mahamat Hissene,693055898,Stub,16877000.0
375,Brazil,Rafael Tobias de Aguiar,693179500,Stub,211812000.0
376,Vietnam,Phạm Thị Trân Châu,693208023,Stub,96209000.0
377,Solomon Islands,David Pacha,693211421,Stub,715000.0
378,Uganda,Charles Oboth Ofumbi,693292931,Start,45741000.0
379,China,Lu Ruilin,693336296,Stub,1402385000.0
380,India,Lalbuaia,693337130,Stub,1400100000.0
381,France,Ian Brossat,693338177,Stub,64940000.0
382,China,Yuan Baocheng,693354280,Stub,1402385000.0
383,Uganda,Pumla Kisosonkole,693388584,Start,45741000.0
384,Slovakia,Ivo Nesrovnal,693431430,Stub,5462000.0
385,Finland,Pekka Pesola,693514155,Stub,5529000.0
386,France,Jean Capelle (politician),693552292,Stub,64940000.0
387,Iceland,Magnús Norðdahl,693573541,Stub,368000.0
389,China,Li Zaihe,693661018,Stub,1402385000.0
390,Argentina,Guillermo Montenegro,693714773,Stub,45377000.0
391,Mongolia,Khas-Ochiryn Luvsandorj,693721533,Stub,3361000.0
392,Italy,Michele Columbu,693748230,Stub,60296000.0
393,China,Li Sancai,693817205,C,1402385000.0
394,Guyana,Martin Zephyr,694039903,Stub,787000.0
395,Turkmenistan,Khadyr Saparlyev,694084978,Stub,6031000.0
396,Benin,Arouna Mama,694112087,Stub,12209000.0
397,Netherlands,List of Dutch politicians,694313944,B,17467000.0
398,Vanuatu,Robert Bohn Sikol,694335820,C,321000.0
399,Peru,Javier Reátegui,694337217,Stub,32824000.0
400,Mali,Mamadou Djigué,694364743,Stub,20251000.0
402,Mongolia,Nyamyn Jagvaral,694557304,Start,3361000.0
403,India,Mahadeo Deole,694588693,Stub,1400100000.0
404,Vietnam,Ngo Dinh Khoi,694815600,Stub,96209000.0
405,Argentina,Jorge Lemus,694889020,Stub,45377000.0
406,Finland,Viktor Magnus von Born,694949199,Stub,5529000.0
407,Finland,Lennart Byman,694949347,Stub,5529000.0
408,Pakistan,Hamid Khan Achakzai,694954386,Stub,220940000.0
409,Finland,Johan Helo,694969219,Stub,5529000.0
410,Finland,Gunnar Henriksson,694969272,Stub,5529000.0
411,Argentina,Cecilia Soria,695276940,Stub,45377000.0
412,Cuba,Francisco de Arango y Parreño,695389357,Start,11281000.0
413,China,Tian Xiangli,695393414,Stub,1402385000.0
414,Tunisia,Ridha Charfeddine,695405443,Stub,11896000.0
415,Netherlands,Tjapko Poppens,695633280,Stub,17467000.0
416,Nepal,Pradip Kumar Gyawali,695644408,Start,29996000.0
417,Monaco,Thierry Poyet,695938011,Stub,38000.0
418,Monaco,Eric Elena,695941127,Stub,38000.0
419,Poland,Kalikst Witkowski,696119166,Stub,38368000.0
420,Greece,Nikos Markatos,696253449,Start,10700000.0
421,Montenegro,Dobrilo Dedeić,696310078,Stub,622000.0
422,Fiji,Navin Patel,696350624,Stub,896000.0
423,Nigeria,Christopher Nwankwo,696479863,Stub,206140000.0
424,India,Electoral history of Atal Bihari Vajpayee,696606312,Stub,1400100000.0
425,India,Palden Tsering Gyamtso,696608668,Stub,1400100000.0
426,Argentina,Soledad Sosa,697009255,Stub,45377000.0
427,Bangladesh,Shafi U Ahmed,697267319,Stub,169809000.0
428,Morocco,Omar Benjelloun,697280332,Stub,35952000.0
429,Portugal,Fernão Martins da Fonseca Coutinho,697369222,Stub,10255000.0
430,Monaco,Jean-François Robillon,697507956,Start,38000.0
431,Bhutan,Lhatu Wangchuk,697511001,Stub,730000.0
432,Nepal,Tek Bahadur Gurung,697556836,Start,29996000.0
433,Bangladesh,Mohammad Sultan,697559666,Start,169809000.0
434,India,Gaya Prasad,697662367,Stub,1400100000.0
435,Mozambique,Political Bureau of the Central Committee of FRELIMO,697742639,Stub,31166000.0
436,United Kingdom,Old Men Forget,697897076,Stub,67160000.0
437,Tuvalu,Satini Manuella,697908533,Stub,10000.0
438,India,S. Ganesan,698048774,Stub,1400100000.0
439,Canada,"Rhinoceros Party of Canada candidates, 1980 Canadian federal election",698077739,Stub,38190000.0
440,Spain,"Salvador Bermúdez de Castro, 2nd Duke of Ripalda",698093715,Start,47635000.0
441,Nepal,Rameshwor Phuyal,698241676,Stub,29996000.0
442,Nepal,Rishi Kattel,698253253,Stub,29996000.0
443,Australia,Peter Arnold (politician),698345894,Stub,25754000.0
444,Nepal,Sushila Chaudhary,698571611,Stub,29996000.0
445,Nepal,Mahendra Dhoj G.C.,698571613,Stub,29996000.0
446,Nepal,Sher Bahadur Tamang,698571631,Stub,29996000.0
447,Nepal,Hari Bahadur Khadka,698571634,Stub,29996000.0
448,Nepal,Tirtha Bahadur Lama,698571661,Stub,29996000.0
449,Nepal,Vishwendraman Pashwan,698571662,Stub,29996000.0
450,Nepal,Tuluram Rajbanshi,698571672,Stub,29996000.0
451,Nepal,Hari Lal Joshi,698571717,Stub,29996000.0
452,Nepal,Arjun Jang Bahadur Singh,698571731,Stub,29996000.0
453,Nepal,Prem Lal Singh,698571738,Stub,29996000.0
454,Nepal,Sebaki Devi Das Tatma,698571745,Stub,29996000.0
455,Nepal,Chandra Bahadur Gurung,698571747,Stub,29996000.0
456,Nepal,Krishna Das Shrestha,698571748,Stub,29996000.0
457,Nepal,Om Prakash Yadav Gulzari,698571750,Stub,29996000.0
458,Nepal,Omprakash Yadav,698571758,Stub,29996000.0
459,Nepal,Hari Parajuli,698571782,Stub,29996000.0
460,Nepal,Ishwar Dayal Mishra,698571785,Stub,29996000.0
461,Nepal,Sher Dhan Rai,698571803,Stub,29996000.0
462,Nepal,Bhim Bahadur Tamang,698572100,Start,29996000.0
463,Nepal,Bedanand Jha,698572160,Stub,29996000.0
464,Nepal,Mohan Prasad Pandey,698572183,Stub,29996000.0
465,Nepal,Shekha Nath Adhikari,698572200,Stub,29996000.0
466,Nepal,Dev Raj Joshi,698572239,Stub,29996000.0
